film_id,film,year,length,imdb_categories,imdb_ratings,imdb_stars,mentions,list_2020,list_2021,mpaa,imdb_pct10,dr_love,imdb_link
74,Moonlight,2016,111,Drama,287970,7.4,1,0,1,R,11.3,No,https://www.imdb.com/title/tt4975722/
75,My Big Fat Greek Wedding,2002,95,"Comedy, Drama, Romance",124279,6.6,1,1,0,PG,9,No,https://www.imdb.com/title/tt0259446/
76,Mystery Men,1999,121,"Action, Comedy, Fantasy",64765,6.1,1,0,1,PG-13,6.4,Yes,https://www.imdb.com/title/tt0132347/
77,Notting Hill,1999,124,"Comedy, Drama, Romance",289594,7.1,1,1,0,PG-13,9.6,Yes,https://www.imdb.com/title/tt0125439/
78,Pather Panchali,1955,125,Drama,28215,8.5,1,1,0,NR,39.6,No,https://www.imdb.com/title/tt0048473/
79,The Parent Trap,1998,128,"Adventure, Comedy, Drama",127301,6.6,1,1,0,PG,12.1,No,https://www.imdb.com/title/tt0120783/
80,The Platform,2019,94,"Horror, Sci-Fi, Thriller",187757,7,1,0,1,NR,5.7,No,https://www.imdb.com/title/tt8228288/
81,Porco Rosso,1992,94,"Animation, Adventure, Comedy",82897,7.7,1,0,1,PG,12.2,No,https://www.imdb.com/title/tt0104652/
82,Pride & Prejudice,2005,129,"Drama, Romance",272448,7.8,1,1,0,PG,22.4,No,https://www.imdb.com/title/tt0414387/
83,The Princess Bride,1987,98,"Adventure, Family, Fantasy",407280,8.1,1,0,1,PG,25.6,Yes,https://www.imdb.com/title/tt0093779/
84,Pulp Fiction,1994,154,"Crime, Drama",1903850,8.9,1,0,1,R,36.7,Yes,https://www.imdb.com/title/tt0110912/
85,Remember the Titans,2000,113,"Biography, Drama, Sport",204383,7.8,1,0,1,PG,15.8,No,https://www.imdb.com/title/tt0210945/
86,Reservoir Dogs,1992,99,"Crime, Drama, Thriller",955827,8.3,1,0,1,R,17.7,Yes,https://www.imdb.com/title/tt0105236/
87,Resident Evil,2002,100,"Action, Horror, Sci-Fi",256725,6.7,1,1,0,R,8.9,No,https://www.imdb.com/title/tt0120804/
88,Rise of the Guardians,2012,97,"Animation, Adventure, Comedy",163429,7.3,1,0,1,PG,14.7,No,https://www.imdb.com/title/tt1446192/
89,The Royal Tenenbaums,2001,110,"Comedy, Drama",276077,7.6,1,0,1,R,16.1,No,https://www.imdb.com/title/tt0265666/
